,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,2309,MASHPEE FAMILY MEDICINE,5 INDUSTRIAL DRIVE,MASHPEE,MA,2649,BARNSTABLE,508-477-4282,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,41.6050403,-70.4944565
1,2315,PRIMA CARE WALK IN CLINIC,289 PLEASANT STREET,FALL RIVER,MA,2721,BRISTOL,508-674-7779,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,41.6983957,-71.1480617
2,2317,TRU MEDICAL WALK IN CLINIC,140 NAUSET STREET,NEW BEDFORD,MA,2746,BRISTOL,508-990-8260,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,41.6614745,-70.9425593
3,2320,TRU MEDICAL WALK IN CENTER,528 NEWTON STREET,FALL RIVER,MA,2721,BRISTOL,508-675-1522,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,41.672608,-71.1635601
4,2323,METROMEDIC WALK IN CLINIC,1155 PURCHASE STREET,NEW BEDFORD,MA,2740,BRISTOL,508-997-2900,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,41.6402886,-70.9274583
5,2359,SAINTS WALK-IN MEDICAL CENTER - URGENT CARE AND OCCUPATIONAL HEALTH,1230 BRIDGE STREET,LOWELL,MA,1850,MIDDLESEX,978-459-2273,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,42.6653405,-71.3038939
6,2369,URGENT CARE MEDICAL CLINIC,629 PLEASANT STREET,BROCKTON,MA,2301,PLYMOUTH,508-583-0010,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,42.0892313,-71.04551
7,2399,FAMILY MEDICAL CENTER,210 WASHINGTON STREET,FAIRHAVEN,MA,2719,BRISTOL,508-992-5546,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,41.6420636,-70.8889896
8,2407,ROUTE 6 WALK IN EMERGENCY OFFICE,1589 FALL RIVER AVENUE,SEEKONK,MA,2771,BRISTOL,508-336-4550,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,41.7847869,-71.3116365
9,2422,HANOVER FAMILY HEALTH AND URGENT CARE,1399 WASHINGTON STREET,HANOVER,MA,2339,PLYMOUTH,781-829-1000,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,42.144202,-70.844005
10,2423,WALK IN AND PRIMARY CARE,808 MAIN STREET,WALTHAM,MA,2451,MIDDLESEX,781-894-8200,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,42.3760766,-71.242893
11,2428,SAINTS WALK-IN MEDICAL CENTER - URGENT CARE AND OCCUPATIONAL HEALTH,85 PARKHURST ROAD,CHELMSFORD,MA,1824,MIDDLESEX,978-458-6868,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,42.6257767,-71.3593401
12,2434,CHELSEA MGH HEALTH CENTER MEDICAL WALK IN,151 EVERETT AVENUE,CHELSEA,MA,2150,SUFFOLK,617-884-8300,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,42.3961274,-71.0392206
13,2439,HARVARD VANGUARD BRAINTREE PRACTICE URGENT CARE,111 GROSSMAN DRIVE,BRAINTREE,MA,2184,NORFOLK,781-849-1000,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,42.21004,-70.999539
14,2459,HAMPDEN COUNTY URGENT MEDICAL CARE CENTER,98 SHAKER ROAD,EAST LONGMEADOW,MA,1028,HAMPDEN,413-525-3958,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,42.060999,-72.5146744
